Filename,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,irt
17.2EQN,8730,False,True,False,17,2,600
17.27FDY,10657,True,False,True,17,27,0
17.6EQY,14625,False,True,True,17,6,0
17.37FQN,10090,True,True,False,17,37,0
17.40FQN,6575,True,True,False,17,40,750
17.21FDY,12244,True,False,True,17,21,0
17.46FQN,5895,True,True,False,17,46,0
17.9EDN,7483,False,False,False,17,9,0
17.19FDY,4421,True,False,True,17,19,0
17.41FQN,6122,True,True,False,17,41,0
17.7EDY,15986,False,False,True,17,7,0
17.32FQY,11337,True,True,True,17,32,0
17.36FDN,9410,True,False,False,17,36,0
17.3EQN,11111,False,True,False,17,3,0
17.26FDY,8390,True,False,True,17,26,0
17.47FQN,6009,True,True,False,17,47,0
17.20FDY,11451,True,False,True,17,20,0
17.5EQN,8503,False,True,False,17,5,0
17.15EDN,5782,False,False,False,17,15,0
17.11EDY,4648,False,False,True,17,11,0
17.18FDY,6689,True,False,True,17,18,270
1.3EQN,9523,False,True,False,1,3,3222
1.7EDY,6122,False,False,True,1,7,1530
1.47FQN,8843,True,True,False,1,47,0
1.20FDY,6122,True,False,True,1,20,1800
1.15EDN,6689,False,False,False,1,15,1320
1.11EDY,7256,False,False,True,1,11,1590
1.18FDY,7142,True,False,True,1,18,1800
1.5EQN,5782,False,True,False,1,5,270
1.41FQN,7029,True,True,False,1,41,1318
1.36FDN,4988,True,False,False,1,36,1350
1.32FQY,5328,True,True,True,1,32,3677
1.26FDY,5782,True,False,True,1,26,1440
1.6EQY,7142,False,True,True,1,6,1620
1.21FDY,5215,True,False,True,1,21,2694
1.2EQN,7256,False,True,False,1,2,888
1.46FQN,7029,True,True,False,1,46,1410
1.19FDY,8049,True,False,True,1,19,1855
1.12EDN,7483,False,False,False,1,12,1858
1.16EQY,5328,False,True,True,1,16,0
1.9EDN,6122,False,False,False,1,9,1560
1.27FDY,6235,True,False,True,1,27,3054
1.37FQN,4648,True,True,False,1,37,1620
1.40FQN,8843,True,True,False,1,40,2342
1.13EDY,9410,False,False,True,1,13,1920
1.17FDY,5215,True,False,True,1,17,3084
1.8EDY,7596,False,False,True,1,8,2106
1.48FQN,5555,True,True,False,1,48,1260
1.22FDY,5328,True,False,True,1,22,1698
1.1EDN,6462,False,False,False,1,1,1320
1.45FDN,7029,True,False,False,1,45,1080
1.39FQN,6802,True,True,False,1,39,2145
1.43FQN,6575,True,True,False,1,43,1311
1.34FDN,5215,True,False,False,1,34,1650
1.30FQY,6462,True,True,True,1,30,1230
1.24FDY,5328,True,False,True,1,24,1350
1.29FDY,11111,True,False,True,1,29,3828
1.4EQY,7256,False,True,True,1,4,2786
1.23FDY,4988,True,False,True,1,23,2018
1.44FDN,7823,True,False,False,1,44,2992
1.33FQN,5442,True,True,False,1,33,2742
1.31FQY,5668,True,True,True,1,31,1558
1.28FDY,6235,True,False,True,1,28,1585
1.38FQN,12698,True,True,False,1,38,1975
1.35FQN,5555,True,True,False,1,35,1775
1.42FQN,8730,True,True,False,1,42,2312
1.25FQY,6009,True,True,True,1,25,1479
1.10EQN,8843,False,True,False,1,10,1650
1.14EQY,8503,False,True,True,1,14,1050
10.25FDY,12585,True,False,True,10,25,0
10.42FDN,7709,True,False,False,10,42,0
10.35FDN,10204,True,False,False,10,35,1500
10.1EQY,7029,False,True,True,10,1,1260
10.38FDN,7256,True,False,False,10,38,0
10.28FQY,5328,True,True,True,10,28,0
10.31FDY,12244,True,False,True,10,31,1950
10.8EQN,10770,False,True,False,10,8,0
10.16EDN,6009,False,False,False,10,16,0
10.12EQY,6349,False,True,True,10,12,0
10.33FDN,11791,True,False,False,10,33,0
10.44FQN,7256,True,True,False,10,44,0
10.23FQY,13265,True,True,True,10,23,0
10.29FQY,6462,True,True,True,10,29,1710
10.24FQY,11904,True,True,True,10,24,0
10.34FQN,13832,True,True,False,10,34,960
10.30FDY,16553,True,False,True,10,30,0
10.43FDN,5782,True,False,False,10,43,300
10.39FDN,6009,True,False,False,10,39,0
10.4EDN,6689,False,False,False,10,4,509
10.15EQY,6122,False,True,True,10,15,0
10.11EQN,8049,False,True,False,10,11,0
10.17FQY,13378,True,True,True,10,17,862
10.45FQN,6802,True,True,False,10,45,0
10.22FQY,14965,True,True,True,10,22,810
10.48FDN,14285,True,False,False,10,48,1230
10.40FDN,6349,True,False,False,10,40,0
10.37FDN,12018,True,False,False,10,37,480
10.27FQY,11224,True,True,True,10,27,0
10.7EQN,6122,False,True,False,10,7,1052
10.3EDY,7936,False,False,True,10,3,0
10.46FDN,6575,True,False,False,10,46,0
10.5EDY,6575,False,False,True,10,5,0
10.21FQY,12698,True,True,True,10,21,0
10.10EDY,6462,False,False,True,10,10,0
10.19FQY,6802,True,True,True,10,19,0
10.14EDN,6462,False,False,False,10,14,930
10.13EQN,7256,False,True,False,10,13,720
10.26FQY,11678,True,True,True,10,26,600
10.36FQN,10657,True,True,False,10,36,0
10.32FDY,11111,True,False,True,10,32,0
10.2EDY,7029,False,False,True,10,2,0
10.41FDN,6349,True,False,False,10,41,0
10.6EDN,5668,False,False,False,10,6,0
10.20FQY,10317,True,True,True,10,20,0
10.9EQY,12698,False,True,True,10,9,0
10.47FDN,5895,True,False,False,10,47,0
