STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
PP1,NO,12-2-1,FALSE,NO,NONE,,PP1,2,YES,X,FALSE,NO,12,2EDN,2EDN,1,NO,PP1 ,16X
OBJ,YES,12-2-2,FALSE,NO,PP1,,OBJ > PP1,2,YES,Y,FALSE,NO,12,2EDN,2EDN,2,NO,OBJ > PP1,16X
OBJ,YES,12-3-1,FALSE,NO,NONE,,OBJ,3,NO,X,FALSE,NO,12,3EDN,3EDN,1,NO,OBJ ,16X
OBJ,YES,12-3-2,FALSE,NO,PP1,,OBJ > PP1,3,YES,Y,FALSE,NO,12,3EDN,3EDN,2,NO,OBJ > PP1,16X
PP1,NO,12-4-1,TRUE,NO,NONE,,PP1,4,YES,X,FALSE,NO,12,4EDY,4EDY,1,NO,PP1 ,16X
PP1,YES,12-4-2,TRUE,NO,OBJ,,PP1 > OBJ,4,YES,Y,FALSE,NO,12,4EDY,4EDY,2,NO,PP1 > OBJ,16X
OBJ,YES,12-5-1,FALSE,NO,NONE,,OBJ > PP1,5,YES,X,FALSE,NO,12,5EDN,5EDN,1,NO,OBJ > PP1,16X
OBJ,YES,12-5-2,FALSE,NO,PP1,,OBJ > PP1,5,YES,Y,FALSE,NO,12,5EDN,5EDN,2,NO,OBJ > PP1,16X
PP1,YES,12-6-1,TRUE,NO,OBJ,,PP1 > OBJ,6,YES,X,FALSE,NO,12,6EDY,6EDY,1,NO,PP1 > OBJ,16X
PP1,YES,12-6-2,TRUE,NO,OBJ,,PP1 > OBJ,6,YES,Y,FALSE,NO,12,6EDY,6EDY,2,NO,PP1 > OBJ,16X
PP1,NO,12-7-1,TRUE,NO,NONE,,PP1,7,YES,X,TRUE,YES,12,7EQY,7EQY,1,NO,PP1 ,16X
PP1,YES,12-7-2,TRUE,NO,OBJ,,PP1 > OBJ,7,YES,Y,TRUE,YES,12,7EQY,7EQY,2,NO,PP1 > OBJ,16X
PP1,NO,12-8-1,TRUE,NO,NONE,,PP1,8,YES,X,TRUE,YES,12,8EQY,8EQY,1,NO,PP1 ,16X
PP1,YES,12-8-2,TRUE,NO,OBJ,PP2,PP1 > OBJ,8,YES,Y,TRUE,YES,12,8EQY,8EQY,2,YES,PP1 > OBJ,16X
OBJ,YES,12-9-1,FALSE,NO,NONE,,OBJ,9,NO,X,TRUE,YES,12,9EQN,9EQN,1,NO,OBJ ,16X
OBJ,YES,12-9-2,FALSE,NO,PP1,,OBJ > PP1,9,YES,Y,TRUE,YES,12,9EQN,9EQN,2,NO,OBJ > PP1,16X
PP1,YES,13-1-1,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,X,FALSE,NO,13,1EDN,13.1EDN_X,1,NO,PP1 > OBJ,16X
OBJ,YES,13-1-2,FALSE,NO,PP1,,OBJ > PP1,1,YES,Y,FALSE,NO,13,1EDN,13.1EDN_Y,2,NO,OBJ > PP1,16X
