"","Speaker ID","Recording ID","X or Y","First Recording For Speaker","Break_V","Break_OBJ","Break_PP1","Strongest","Weakest","Struggle","Struggle_start","Q_intonation","Silence after reading (Y/R1)","Silence before reading (X/R2)","Q_condition","GP_condition","Reading","item","rec"
"171",13,"13.1EDN_Y","Y","16X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","1","1EDN"
"172",15,"15.1EDY_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","1","1","1EDY"
"173",15,"15.2EQY_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","Y","2","2","2EQY"
"174",15,"15.3EQY_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","3","3EQY"
"175",15,"15.4EQN_Y","Y","1X","YES","YES","YES","PP1","V","NO",NA,"YES",NA,NA,"Q","N","2","4","4EQN"
"176",15,"15.5EQY_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","5","5EQY"
"177",15,"15.6EQN_Y","Y","1X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","2","6","6EQN"
"178",15,"15.7EDN_X","X","1X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","7","7EDN"
"179",15,"15.8EDN_Y","Y","1X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","2","8","8EDN"
"180",15,"15.9EDY_X","X","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","1","9","9EDY"
"181",15,"15.10EQY_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","Y","2","10","10EQY"
"182",15,"15.11EDN_X","X","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","1","11","11EDN"
"183",15,"15.12EDY_Y","Y","1X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","2","12","12EDY"
"184",15,"15.13EDN_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","1","13","13EDN"
"185",15,"15.14EQN_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","N","2","14","14EQN"
"186",15,"15.15EDY_X","X","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","1","15","15EDY"
"187",15,"15.16EQN_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","N","2","16","16EQN"
"188",17,"17.16EQY_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","Y","2","16","16EQY"
