UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
13-6-1,13,6,1,TRUE,TRUE,6EQY,13.6EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
13-6-2,13,6,2,TRUE,TRUE,6EQY,13.6EQY_Y,Y,16X,YES,YES,YES,PP1,OBJ,NO,,YES
13-7-1,13,7,1,TRUE,FALSE,7EDY,13.7EDY_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-7-2,13,7,2,TRUE,FALSE,7EDY,13.7EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-8-1,13,8,1,TRUE,FALSE,8EDY,13.8EDY_X,X,16X,NO,YES,YES,OBJ,PP1,YES,PP1,NO
13-8-2,13,8,2,TRUE,FALSE,8EDY,13.8EDY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
13-9-1,13,9,1,FALSE,FALSE,9EDN,13.9EDN_X,X,16X,NO,YES,YES,OBJ,PP1,YES,PP2,NO
13-9-2,13,9,2,FALSE,FALSE,9EDN,13.9EDN_Y,Y,16X,NO,YES,YES,NONE,NONE,NO,,NO
14-1-1,14,1,1,TRUE,TRUE,1EQY,1EQY,X,16Y,YES,NO,YES,PP1,V,YES,PP2,YES
14-1-2,14,1,2,TRUE,TRUE,1EQY,1EQY,Y,16Y,NO,YES,YES,PP1,OBJ,YES,PP2,YES
14-10-1,14,10,1,TRUE,FALSE,10EDY,10EDY,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO
14-10-2,14,10,2,TRUE,FALSE,10EDY,10EDY,Y,16Y,NO,NO,YES,PP1,NONE,NO,,NO
14-11-1,14,11,1,FALSE,TRUE,11EQN,11EQN,X,16Y,NO,YES,YES,OBJ,PP1,YES,PP1,YES
14-11-2,14,11,2,FALSE,TRUE,11EQN,11EQN,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
14-12-1,14,12,1,TRUE,TRUE,12EQY,12EQY,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,YES
14-12-2,14,12,2,TRUE,TRUE,12EQY,12EQY,Y,16Y,NO,NO,YES,PP1,NONE,YES,V,NO
14-13-1,14,13,1,FALSE,TRUE,13EQN,13EQN,X,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
14-13-2,14,13,2,FALSE,TRUE,13EQN,13EQN,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
14-14-1,14,14,1,FALSE,FALSE,14EDN,14EDN,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO
14-14-2,14,14,2,FALSE,FALSE,14EDN,14EDN,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
14-15-1,14,15,1,TRUE,TRUE,15EQY,15EQY,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
14-15-2,14,15,2,TRUE,TRUE,15EQY,15EQY,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
14-16-1,14,16,1,FALSE,FALSE,16EDN,16EDN,X,16Y,NO,NO,YES,PP1,NONE,YES,PP1,NO
14-16-2,14,16,2,FALSE,FALSE,16EDN,16EDN,Y,16Y,NO,NO,YES,PP1,NONE,NO,,NO
14-2-1,14,2,1,TRUE,FALSE,2EDY,2EDY,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO
14-2-2,14,2,2,TRUE,FALSE,2EDY,2EDY,Y,16Y,YES,NO,YES,PP1,V,YES,V,NO
14-3-1,14,3,1,TRUE,FALSE,3EDY,3EDY,X,16Y,YES,NO,YES,PP1,V,NO,,NO
14-3-2,14,3,2,TRUE,FALSE,3EDY,3EDY,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
