Filename;Leading;Trailing;Length;isFiller;Condition_Q;Condition_GP;Participant;Item;SP_Leading;SP_Trailing
203.33FQN_r1.wav;  510;NA; 4308;TRUE;TRUE;FALSE;203;33;  510;    0
203.12EDY_r2.wav; 1500;  522; 5442;FALSE;FALSE;TRUE;203;12; 1500;  522
203.16EQN_r2.wav;NA;NA; 4308;FALSE;TRUE;FALSE;203;16;    0;NA
203.28FDY_r1.wav;  840;NA; 3061;TRUE;FALSE;TRUE;203;28;  840;    0
203.1EDY_r2.wav;NA;NA; 4988;FALSE;FALSE;TRUE;203;1;    0;NA
203.31FQY_r2.wav; 1680;NA; 6575;TRUE;TRUE;TRUE;203;31; 1680;NA
203.25FQY_r2.wav; 1470;NA; 4081;TRUE;TRUE;TRUE;203;25; 1470;NA
203.42FQN_r1.wav;  930;NA; 4421;TRUE;TRUE;FALSE;203;42;  930;    0
203.35FQN_r2.wav; 2190;NA; 6462;TRUE;TRUE;FALSE;203;35; 2190;NA
203.8EDN_r1.wav;  600;NA; 3287;FALSE;FALSE;FALSE;203;8;  600;    0
203.38FQN_r1.wav;  990;  741; 4761;TRUE;TRUE;FALSE;203;38;  990;  741
203.28FDY_r2.wav; 2100;NA; 6009;TRUE;FALSE;TRUE;203;28; 2100;NA
203.1EDY_r1.wav;  600;NA; 2834;FALSE;FALSE;TRUE;203;1;  600;    0
203.31FQY_r1.wav;  660;NA; 2494;TRUE;TRUE;TRUE;203;31;  660;    0
203.25FQY_r1.wav;  630;  808; 4648;TRUE;TRUE;TRUE;203;25;  630;  808
203.42FQN_r2.wav;NA;NA; 8390;TRUE;TRUE;FALSE;203;42;    0;NA
203.8EDN_r2.wav; 2879;NA; 6235;FALSE;FALSE;FALSE;203;8; 2879;NA
203.35FQN_r1.wav;NA;NA; 3287;TRUE;TRUE;FALSE;203;35;NA;    0
203.38FQN_r2.wav; 1770;NA; 5328;TRUE;TRUE;FALSE;203;38; 1770;NA
203.48FQN_r2.wav;NA;NA; 4988;TRUE;TRUE;FALSE;203;48;    0;NA
203.45FDN_r1.wav;  720;  224; 3854;TRUE;FALSE;FALSE;203;45;  720;  224
203.22FDY_r2.wav; 1830;NA; 5102;TRUE;FALSE;TRUE;203;22; 1830;NA
203.17FDY_r2.wav; 4349;NA; 8730;TRUE;FALSE;TRUE;203;17; 4349;NA
203.48FQN_r1.wav;  600;NA; 3628;TRUE;TRUE;FALSE;203;48;  600;    0
203.45FDN_r2.wav; 1620;NA; 4761;TRUE;FALSE;FALSE;203;45; 1620;NA
203.22FDY_r1.wav;  750;NA; 3174;TRUE;FALSE;TRUE;203;22;  750;    0
203.17FDY_r1.wav;  990;NA; 3401;TRUE;FALSE;TRUE;203;17;  990;    0
203.11EDN_r1.wav;  540;  325; 4195;FALSE;FALSE;FALSE;203;11;  540;  325
203.15EDY_r1.wav;  540;  251; 3401;FALSE;FALSE;TRUE;203;15;  540;  251
203.43FQN_r1.wav;  660;NA; 2947;TRUE;TRUE;FALSE;203;43;  660;    0
203.39FQN_r1.wav;  690;NA; 2947;TRUE;TRUE;FALSE;203;39;  690;    0
203.29FDY_r1.wav;  450;  981; 4761;TRUE;FALSE;TRUE;203;29;  450;  981
203.24FDY_r2.wav; 1560;NA; 4195;TRUE;FALSE;TRUE;203;24; 1560;NA
203.4EQN_r2.wav; 1590; 1105; 6235;FALSE;TRUE;FALSE;203;4; 1590; 1105
203.30FQY_r2.wav;  990;NA; 5668;TRUE;TRUE;TRUE;203;30;  990;NA
203.34FDN_r2.wav; 1620;NA; 5782;TRUE;FALSE;FALSE;203;34; 1620;NA
203.11EDN_r2.wav; 1440;  972; 6462;FALSE;FALSE;FALSE;203;11; 1440;  972
203.15EDY_r2.wav; 1440;NA; 4648;FALSE;FALSE;TRUE;203;15; 1440;NA
203.43FQN_r2.wav; 1320; 1015; 5215;TRUE;TRUE;FALSE;203;43; 1320; 1015
203.39FQN_r2.wav;NA;NA; 5102;TRUE;TRUE;FALSE;203;39;    0;NA
203.29FDY_r2.wav;NA;  199; 6349;TRUE;FALSE;TRUE;203;29;    0;  199
203.24FDY_r1.wav;  810;NA; 3401;TRUE;FALSE;TRUE;203;24;  810;    0
203.4EQN_r1.wav;  930;NA; 3741;FALSE;TRUE;FALSE;203;4;  930;    0
203.30FQY_r1.wav;  870;NA; 3514;TRUE;TRUE;TRUE;203;30;  870;    0
203.34FDN_r1.wav;  840;NA; 3401;TRUE;FALSE;FALSE;203;34;  840;    0
205.4EQY_r2.wav;13769;  737;18707;FALSE;TRUE;TRUE;205;4;13769;  737
205.16EQY_r1.wav;  570; 1068; 5328;FALSE;TRUE;TRUE;205;16;  570; 1068
205.12EDN_r1.wav;  510;  738; 5328;FALSE;FALSE;FALSE;205;12;  510;  738
