STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST,pair,condition,pdom,odom,simple2lvl,ID
PP1,FALSE,12-11-1,TRUE,FALSE,NONE,NA,PP1,11,TRUE,X,TRUE,YES,12,11EQY,11EQY,1,FALSE,PP1,16X,12-11,Q +GP,TRUE,FALSE,PP1,12-11
PP1,TRUE,12-11-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,11,TRUE,Y,TRUE,YES,12,11EQY,11EQY,2,FALSE,PP1 > OBJ,16X,12-11,Q +GP,TRUE,FALSE,BOTH,12-11
PP1,FALSE,12-12-1,FALSE,FALSE,NONE,NA,PP1,12,TRUE,X,TRUE,YES,12,12EQN,12EQN,1,FALSE,PP1,16X,12-12,Q -GP,TRUE,FALSE,PP1,12-12
PP1,TRUE,12-12-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,12,TRUE,Y,TRUE,YES,12,12EQN,12EQN,2,FALSE,PP1 > OBJ,16X,12-12,Q -GP,TRUE,FALSE,BOTH,12-12
PP1,FALSE,12-13-1,TRUE,FALSE,NONE,NA,PP1,13,TRUE,X,TRUE,YES,12,13EQY,13EQY,1,FALSE,PP1,16X,12-13,Q +GP,TRUE,FALSE,PP1,12-13
PP1,TRUE,12-13-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,13,TRUE,Y,TRUE,YES,12,13EQY,13EQY,2,FALSE,PP1 > OBJ,16X,12-13,Q +GP,TRUE,FALSE,BOTH,12-13
PP1,TRUE,12-14-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,14,TRUE,X,FALSE,NO,12,14EDY,14EDY,1,FALSE,PP1 > OBJ,16X,12-14,D +GP,TRUE,FALSE,BOTH,12-14
PP1,TRUE,12-14-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,14,TRUE,Y,FALSE,NO,12,14EDY,14EDY,2,FALSE,PP1 > OBJ,16X,12-14,D +GP,TRUE,FALSE,BOTH,12-14
OBJ,TRUE,12-15-1,FALSE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,X,TRUE,YES,12,15EQN,15EQN,1,FALSE,OBJ > PP1,16X,12-15,Q -GP,FALSE,TRUE,BOTH,12-15
OBJ,TRUE,12-15-2,FALSE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,Y,TRUE,YES,12,15EQN,15EQN,2,FALSE,OBJ > PP1,16X,12-15,Q -GP,FALSE,TRUE,BOTH,12-15
PP1,FALSE,12-16-1,TRUE,TRUE,V,NA,PP1,16,TRUE,X,FALSE,NO,12,16EDY,16EDY,1,FALSE,PP1 > V,16X,12-16,D +GP,TRUE,FALSE,PP1,12-16
PP1,TRUE,12-16-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,16,TRUE,Y,FALSE,NO,12,16EDY,16EDY,2,FALSE,PP1 > OBJ,16X,12-16,D +GP,TRUE,FALSE,BOTH,12-16
PP1,FALSE,12-2-1,FALSE,FALSE,NONE,NA,PP1,2,TRUE,X,FALSE,NO,12,2EDN,2EDN,1,FALSE,PP1,16X,12-2,D -GP,TRUE,FALSE,PP1,12-2
OBJ,TRUE,12-2-2,FALSE,FALSE,PP1,NA,OBJ > PP1,2,TRUE,Y,FALSE,NO,12,2EDN,2EDN,2,FALSE,OBJ > PP1,16X,12-2,D -GP,FALSE,TRUE,BOTH,12-2
OBJ,TRUE,12-3-1,FALSE,FALSE,NONE,NA,OBJ,3,FALSE,X,FALSE,NO,12,3EDN,3EDN,1,FALSE,OBJ,16X,12-3,D -GP,FALSE,TRUE,OBJ,12-3
OBJ,TRUE,12-3-2,FALSE,FALSE,PP1,NA,OBJ > PP1,3,TRUE,Y,FALSE,NO,12,3EDN,3EDN,2,FALSE,OBJ > PP1,16X,12-3,D -GP,FALSE,TRUE,BOTH,12-3
PP1,FALSE,12-4-1,TRUE,FALSE,NONE,NA,PP1,4,TRUE,X,FALSE,NO,12,4EDY,4EDY,1,FALSE,PP1,16X,12-4,D +GP,TRUE,FALSE,PP1,12-4
PP1,TRUE,12-4-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,4,TRUE,Y,FALSE,NO,12,4EDY,4EDY,2,FALSE,PP1 > OBJ,16X,12-4,D +GP,TRUE,FALSE,BOTH,12-4
OBJ,TRUE,12-5-1,FALSE,FALSE,NONE,NA,OBJ > PP1,5,TRUE,X,FALSE,NO,12,5EDN,5EDN,1,FALSE,OBJ > PP1,16X,12-5,D -GP,FALSE,TRUE,BOTH,12-5
OBJ,TRUE,12-5-2,FALSE,FALSE,PP1,NA,OBJ > PP1,5,TRUE,Y,FALSE,NO,12,5EDN,5EDN,2,FALSE,OBJ > PP1,16X,12-5,D -GP,FALSE,TRUE,BOTH,12-5
PP1,TRUE,12-6-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,6,TRUE,X,FALSE,NO,12,6EDY,6EDY,1,FALSE,PP1 > OBJ,16X,12-6,D +GP,TRUE,FALSE,BOTH,12-6
PP1,TRUE,12-6-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,6,TRUE,Y,FALSE,NO,12,6EDY,6EDY,2,FALSE,PP1 > OBJ,16X,12-6,D +GP,TRUE,FALSE,BOTH,12-6
PP1,FALSE,12-7-1,TRUE,FALSE,NONE,NA,PP1,7,TRUE,X,TRUE,YES,12,7EQY,7EQY,1,FALSE,PP1,16X,12-7,Q +GP,TRUE,FALSE,PP1,12-7
